ESID,Data Collector Affiliations,Latitude,Longitude,Local Eclipse Type,Eclipse Percent (%),WAV Files Time & Date Settings,Data Collector Start Time Notes,Eclipse Date,Eclipse Start Time (UTC) (1st Contact),Totality Start Time (UTC) (2nd Contact),Eclipse Maximum (UTC),Totality End Time (UTC) (3rd Contact),Eclipse End Time (UTC) (4th Contact),Version,Keywords and subjects,year
298,,38.61381667,-90.49445,Partial,98.68,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:26,N/A,19:00:16,N/A,20:16:51,2024.0.0,2024 Total Solar Eclipse ,2024
301,,42.37164,-83.46766,Partial,98.77,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:57:44,N/A,19:13:43,N/A,20:27:04,2024.0.0,2024 Total Solar Eclipse ,2024
303,Parchment Community Library,42.32642,-85.56653,Partial,95.81,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:54:47,N/A,19:10:48,N/A,20:24:35,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
305,,31.429475,-97.7591801,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:19:17,18:36:37,18:38:49,18:41:01,19:59:28,2024.1.0,2024 Total Solar Eclipse ,2024
306,,44.88729,-93.4491,Partial,73.88,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:49:14,N/A,19:02:12,N/A,20:14:22,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
310,,38.55626,-90.46249,Partial,98.87,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:23,N/A,19:00:15,N/A,20:16:52,2024.0.0,2024 Total Solar Eclipse ,2024
312,,39.21961,-94.60044,Partial,88.85,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:37:58,N/A,18:54:47,N/A,20:11:12,2024.0.0,2024 Total Solar Eclipse ,2024
313,,37.75965,-89.94976,Total,100,Needs to be set manually,8:48:00 AM US Central,2024-04-08,17:41:52,18:58:22,19:00:09,19:01:56,20:17:06,2024.1.0,2024 Total Solar Eclipse ,2024
314,,37.86796,-89.97304,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:42:00,18:58:37,19:00:14,19:01:51,20:17:08,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
317,,38.104403,-90.326928,Partial,99.96,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:41:51,N/A,18:59:57,N/A,20:16:47,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
319,,37.4758,-93.7394,Partial,95.86,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:36:00,N/A,18:53:58,N/A,20:11:29,2024.0.0,2024 Total Solar Eclipse,2024
322,,39.006026,-92.3167252,Partial,94.15,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:40:33,N/A,18:57:57,N/A,20:14:29,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
323,,38.879542,-92.302189,Partial,94.56,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:40:22,N/A,18:57:50,N/A,20:14:26,2024.0.0,2024 Total Solar Eclipse,2024
